Model; Launch; Code name; Fab (nm); Transistors (million); Die size (mm2); Bus interface; Clock rate; Clock rate; Core config[ a]; Fillrate; Fillrate; Memory; Memory; Memory; Memory; Processing power (GFLOPS); Processing power (GFLOPS); TDP (Watts)[ b]; TDP (Watts)[ b]; Crossfire Support; API support (version); API support (version); API support (version); Release Price (USD)
Model; Launch; Code name; Fab (nm); Transistors (million); Die size (mm2); Bus interface; Core (MHz); Memory (MHz); Core config[ a]; Pixel (GP/s); Texture (GT/s); Size (MB); Bandwidth (GB/s); Bus type; Bus width (bit); Single precision; Double precision; Idle; Max.; Crossfire Support; Direct3D; OpenGL; OpenCL; Release Price (USD)
Radeon HD 5450; Feb 4, 2010; Cedar PRO; 40; 292; 59; PCIe 2.1 x16 PCI PCIe 2.1  x1; 650 650 650; 400 800 800; 80:8:4; 2.6; 5.2; 512 1024 2048; 6.4 12.8; DDR2 DDR3; 64; 104; N/A; 6.4; 19.1; No; 11.3 (11_0); 4.5; 1.2; ~50
Radeon HD 5550; Feb 9, 2010; Redwood LE; 40; 627; 104; PCIe 2.1 x16; 550 550 550; 400 800 800; 320:16:8; 4.4; 8.8; 512 1024 2048; 12.8 25.6 51.2; 128; 352; 10; N/A; 39; ~70; No; 11.3 (11_0); 4.5; 1.2; 
Radeon HD 5570; Feb 9, 2010; Redwood PRO; 40; 627; 104; PCIe 2.1 x16; 650 650; 400 900; 12.8 28.8 57.6; 520; 80; 512 1024 2048; DDR2 GDDR3 GDDR5; 128; 10; N/A; 39; No; 11.3 (11_0); 4.5; 1.2; 
Radeon HD 5610; May 14, 2011; Redwood PRO; 40; 627; 104; PCIe 2.1 x16; 5.2; 13.0; 650; 520; 500; 1024; 16.0; 128; GDDR3; ; N/A; 39; ; No; 11.3 (11_0); 4.5; 1.2; 
Radeon HD 5670; Jan 14, 2010; Redwood XT; 40; 627; 104; PCIe 2.1 x16; 775 775; 800 1000; 6.2; 15.5; 512 1024 2048; 25.6 64.0; GDDR3 GDDR5; 128; 620; 15; N/A; 64; 99; 11.3 (11_0); 4.5; 1.2; 
Radeon HD 5750; Oct 13, 2009; Juniper PRO; 40; 1040; 170; PCIe 2.1 x16; 700 700; 1150 1150; 720:36:16; 11.2; 25.2; 73.6; 4-way Crossfire; 128; 1008; 16; N/A; 86; 129; 11.3 (11_0); 4.5; 1.2; 
Radeon HD 5770; Oct 13, 2009; Juniper XT; 40; 1040; 170; PCIe 2.1 x16; 850 850; 1200 1200; 800:40:16; 13.6; 512 1024; 34.0; 4-way Crossfire; 128; 76.8; 1360; N/A; 18; 108; 159; 11.3 (11_0); 4.5; 1.2; 
Radeon HD 5830; Feb 25, 2010; Cypress LE; 40; 2154; 334; PCIe 2.1 x16; 800; 1000; 1120:56:16; 12.8; 44.8; 1024; 4-way Crossfire; GDDR5; 1792; 358.4; 25; 175; 239; 11.3 (11_0); 4.5; 1.2; 
Radeon HD 5850; Sep 30, 2009; Cypress PRO; 40; 2154; 334; PCIe 2.1 x16; 725 725; 1000 1000; 1440:72:32; 23.2; 52.2; 128.0; 4-way Crossfire; GDDR5; 2088; 417.6; 151; 259; 11.3 (11_0); 4.5; 1.2; 
Radeon HD 5870; Sep 23, 2009; Cypress XT; 40; 2154; 334; PCIe 2.1 x16; 850 850; 1024 2048; 1200 1200; 153.6; 27; 2720; 4-way Crossfire; GDDR5; 188 228; 379; 11.3 (11_0); 4.5; 1.2; 
Radeon HD 5870 Eyefinity Edition[ c] [ 22]; Mar 11, 2010; Cypress XT; 40; 2154; 334; PCIe 2.1 x16; 27.2; 850; 68.0; 153.6; 27; 2720; 4-way Crossfire; GDDR5; 1200; 2048; 228; 479; 11.3 (11_0); 4.5; 1.2; 
Radeon HD 5970; Nov 18, 2009; Hemlock XT; 40; 2154×2; 334×2; PCIe 2.1 x16; 725 725; 1000 1000; 1600:80:32×2; 46.4; 116.0; 1024×2 2048×2; 128×2; GDDR5; 256×2; 4640; 928; 51; 294; 599; 11.3 (11_0); 4.5; 1.2; 
Model; Launch; Code name; Fab (nm); Transistors (Million); Die Size (mm²); Bus interface; Core (MHz); Memory (MHz); Core config[ a]; Pixel (GP/s); Texture (GT/s); Size (MB); Bandwidth (GB/s); Bus type; Bus width (bit); Single Precision; Double Precision; Idle; Max.; Crossfire Support; Direct3D; OpenGL; OpenCL; Release Price (USD)
Model; Launch; Code name; Fab (nm); Transistors (Million); Die Size (mm²); Bus interface; Memory>; Processing power (GFLOPS); Core config[ a]; TDP (W)[ b]; TDP (W)[ b]; API support (version); API support (version); API support (version); Crossfire Support; Release Price (USD)
